Location,Period,Indicator,SkilledProf,MortRate
Afghanistan,2017,Births attended by skilled health personnel (%),53.4,638
Afghanistan,2015,Births attended by skilled health personnel (%),50.5,701
Afghanistan,2014,Births attended by skilled health personnel (%),45.2,786
Afghanistan,2012,Births attended by skilled health personnel (%),39.9,858
Afghanistan,2011,Births attended by skilled health personnel (%),38.6,905
Afghanistan,2010,Births attended by skilled health personnel (%),34.3,954
Afghanistan,2003,Births attended by skilled health personnel (%),14.3,1240
Albania,2009,Births attended by skilled health personnel (%),99.3,20
Albania,2005,Births attended by skilled health personnel (%),99.8,22
Algeria,2013,Births attended by skilled health personnel (%),96.6,115
Algeria,2006,Births attended by skilled health personnel (%),95.2,122
Angola,2016,Births attended by skilled health personnel (%),46.6,246
Angola,2007,Births attended by skilled health personnel (%),47.3,431
Antigua and Barbuda,2017,Births attended by skilled health personnel (%),100,42
Antigua and Barbuda,2015,Births attended by skilled health personnel (%),100,43
Antigua and Barbuda,2014,Births attended by skilled health personnel (%),100,42
Antigua and Barbuda,2013,Births attended by skilled health personnel (%),100,43
Antigua and Barbuda,2012,Births attended by skilled health personnel (%),100,44
Antigua and Barbuda,2010,Births attended by skilled health personnel (%),100,44
Antigua and Barbuda,2009,Births attended by skilled health personnel (%),100,45
Antigua and Barbuda,2008,Births attended by skilled health personnel (%),100,50
Antigua and Barbuda,2007,Births attended by skilled health personnel (%),100,48
Antigua and Barbuda,2006,Births attended by skilled health personnel (%),99.9,46
Antigua and Barbuda,2005,Births attended by skilled health personnel (%),99.9,40
Antigua and Barbuda,2004,Births attended by skilled health personnel (%),100,41
Antigua and Barbuda,2003,Births attended by skilled health personnel (%),99,44
Antigua and Barbuda,2001,Births attended by skilled health personnel (%),100,44
Antigua and Barbuda,2000,Births attended by skilled health personnel (%),99.9,44
Argentina,2017,Births attended by skilled health personnel (%),93.9,39
Argentina,2016,Births attended by skilled health personnel (%),98.4,40
Argentina,2015,Births attended by skilled health personnel (%),99.6,41
Argentina,2014,Births attended by skilled health personnel (%),99.6,42
Argentina,2013,Births attended by skilled health personnel (%),97,44
Argentina,2012,Births attended by skilled health personnel (%),98.2,47
Argentina,2011,Births attended by skilled health personnel (%),97.1,48
Argentina,2010,Births attended by skilled health personnel (%),95,51
Argentina,2009,Births attended by skilled health personnel (%),97.9,56
Argentina,2008,Births attended by skilled health personnel (%),94.8,53
Argentina,2007,Births attended by skilled health personnel (%),99.4,56
Argentina,2006,Births attended by skilled health personnel (%),99.4,57
Argentina,2005,Births attended by skilled health personnel (%),99.1,59
Argentina,2004,Births attended by skilled health personnel (%),99.1,61
Argentina,2003,Births attended by skilled health personnel (%),98.7,65
Argentina,2002,Births attended by skilled health personnel (%),98.9,65
Argentina,2001,Births attended by skilled health personnel (%),98.4,67
Argentina,2000,Births attended by skilled health personnel (%),99.1,66
Armenia,2016,Births attended by skilled health personnel (%),99.8,26
Armenia,2014,Births attended by skilled health personnel (%),100,27
Armenia,2013,Births attended by skilled health personnel (%),100,26
Armenia,2012,Births attended by skilled health personnel (%),100,30
Armenia,2011,Births attended by skilled health personnel (%),100,30
Armenia,2010,Births attended by skilled health personnel (%),99.5,32
Armenia,2009,Births attended by skilled health personnel (%),100,32
Armenia,2008,Births attended by skilled health personnel (%),99.9,36
Armenia,2007,Births attended by skilled health personnel (%),99.9,32
Armenia,2006,Births attended by skilled health personnel (%),99.7,36
Armenia,2005,Births attended by skilled health personnel (%),99.6,35
Armenia,2004,Births attended by skilled health personnel (%),99.5,36
Armenia,2003,Births attended by skilled health personnel (%),99.2,38
Armenia,2002,Births attended by skilled health personnel (%),98.8,39
Armenia,2001,Births attended by skilled health personnel (%),98.4,42
Australia,2017,Births attended by skilled health personnel (%),96.7,6
Australia,2016,Births attended by skilled health personnel (%),97,6
Australia,2015,Births attended by skilled health personnel (%),99.7,6
Australia,2014,Births attended by skilled health personnel (%),99.7,6
Australia,2013,Births attended by skilled health personnel (%),99.3,6
Australia,2012,Births attended by skilled health personnel (%),99.2,6
Australia,2011,Births attended by skilled health personnel (%),99.1,6
Australia,2010,Births attended by skilled health personnel (%),99.1,5
Australia,2009,Births attended by skilled health personnel (%),99.1,5
Australia,2008,Births attended by skilled health personnel (%),99.1,5
Australia,2007,Births attended by skilled health personnel (%),99.2,5
Australia,2006,Births attended by skilled health personnel (%),99.3,5
Australia,2005,Births attended by skilled health personnel (%),99.4,5
Australia,2004,Births attended by skilled health personnel (%),99.3,5
Australia,2003,Births attended by skilled health personnel (%),99.3,6
Australia,2002,Births attended by skilled health personnel (%),99.3,6
Australia,2001,Births attended by skilled health personnel (%),99.3,6
Australia,2000,Births attended by skilled health personnel (%),99.3,7
Austria,2017,Births attended by skilled health personnel (%),98.4,5
Austria,2016,Births attended by skilled health personnel (%),98.4,5
Austria,2015,Births attended by skilled health personnel (%),98.5,5
Austria,2014,Births attended by skilled health personnel (%),98.5,5
Austria,2013,Births attended by skilled health personnel (%),98.5,5
Austria,2012,Births attended by skilled health personnel (%),98.5,5
Austria,2011,Births attended by skilled health personnel (%),98.6,5
Austria,2010,Births attended by skilled health personnel (%),98.5,5
Austria,2009,Births attended by skilled health personnel (%),98.6,5
Austria,2008,Births attended by skilled health personnel (%),98.6,5
Austria,2007,Births attended by skilled health personnel (%),98.5,5
Austria,2006,Births attended by skilled health personnel (%),98.6,5
Austria,2005,Births attended by skilled health personnel (%),98.6,6
Austria,2004,Births attended by skilled health personnel (%),98.4,5
Austria,2003,Births attended by skilled health personnel (%),98.4,6
Austria,2002,Births attended by skilled health personnel (%),98.4,6
Austria,2001,Births attended by skilled health personnel (%),98.3,6
Austria,2000,Births attended by skilled health personnel (%),98.3,6
Azerbaijan,2017,Births attended by skilled health personnel (%),99.8,26
