Location,Period,Indicator,Dim1,First Tooltip
Afghanistan,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,53.95
Albania,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,69.08
Algeria,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,66.39
Angola,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,54.84
Antigua and Barbuda,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,66.97
Argentina,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,67.13
Armenia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,67.12
Australia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,70.93
Austria,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,70.94
Azerbaijan,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,63.65
Bahamas,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,64.35
Bahrain,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,65.88
Bangladesh,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,64.3
Barbados,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,66.99
Belarus,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,65.97
Belgium,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,70.56
Belize,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,65.29
Benin,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,55.52
Bhutan,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,63.36
Bolivia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,63.27
Bosnia and Herz.,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,67.19
Botswana,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,53.89
Brazil,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,65.4
Brunei Darussalam,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,65.65
Bulgaria,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,66.28
Burkina Faso,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,54.86
Burundi,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,55.58
Cabo Verde,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,64.8
Cambodia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,61.51
Cameroon,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,54.52
Canada,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,71.25
Central African Rep.,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,46.37
Chad,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,52.02
Chile,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,70.05
China,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,68.53
Colombia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,68.96
Comoros,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,58.95
Congo,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,56.25
Costa Rica,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,69.97
Côte d'Ivoire,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,54.81
Croatia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,68.62
Cuba,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,67.84
Cyprus,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,72.41
Czech Rep.,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,68.79
Dem. Rep. Korea,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,65.01
Dem. Rep. Congo,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,54.09
Denmark,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,71.04
Djibouti,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,58
Dominican Rep.,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,63.98
Ecuador,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,68.48
Egypt,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,62.97
El Salvador,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,64.87
Eq. Guinea,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,53.86
Eritrea,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,55.73
Estonia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,69.24
Eswatini,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,50.06
Ethiopia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,59.89
Fiji,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,59.59
Finland,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,71
France,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,72.08
Gabon,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,57.56
Gambia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,57.04
Georgia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,64.68
Germany,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,70.89
Ghana,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,57.98
Greece,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,70.87
Grenada,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,63.92
Guatemala,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,62.3
Guinea,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,53.32
Guinea-Bissau,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,52.62
Guyana,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,57.24
Haiti,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,55.8
Honduras,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,62.98
Hungary,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,67.19
Iceland,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,71.98
India,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,60.33
Indonesia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,62.83
Iran,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,66.26
Iraq,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,62.66
Ireland,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,71.07
Israel,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,72.38
Italy,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,71.92
Jamaica,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,66.55
Japan,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,74.09
Jordan,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,67.6
Kazakhstan,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,64.99
Kenya,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,57.68
Kiribati,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,52.62
Kuwait,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,70.09
Kyrgyzstan,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,65.78
Lao PDR,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,60.51
Latvia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,66.25
Lebanon,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,65.96
Lesotho,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,44.24
Liberia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,54.91
Libya,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,65.22
Lithuania,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,66.69
Luxembourg,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,71.55
Madagascar,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,57.31
Malawi,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,57.06
Malaysia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,65.66
Maldives,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,69.95
Mali,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,54.63
Malta,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,71.46
Mauritania,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,59.76
Mauritius,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,63.94
Mexico,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,65.76
Micronesia (Federated States of),2019,Healthy life expectancy (HALE) at birth (years),Both sexes,55.98
Mongolia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,60.29
Montenegro,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,66.97
Morocco,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,63.69
Mozambique,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,50.36
Myanmar,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,60.85
Namibia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,56.06
Nepal,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,61.34
Netherlands,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,71.44
New Zealand,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,70.24
Nicaragua,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,65.46
Niger,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,55.52
Nigeria,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,54.39
Norway,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,71.36
Oman,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,64.68
Pakistan,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,56.87
Panama,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,68.68
Papua New Guinea,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,57.08
Paraguay,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,65.8
Peru,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,69.5
Philippines,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,62
Poland,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,68.66
Portugal,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,70.96
Qatar,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,67.06
Korea,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,73.06
Moldova,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,64.54
Macedonia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,66.14
Romania,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,66.85
Russia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,64.21
Rwanda,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,60.21
Saint Lucia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,64.7
Saint Vincent and the Grenadines,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,63.97
Samoa,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,62.13
Sao Tome and Principe,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,61.6
Saudi Arabia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,64.02
Senegal,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,59.37
Serbia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,66.88
Seychelles,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,64.01
